word,pos,cefr
assurance,noun,C1
allowance,noun,C1
assistance,noun,B2
appearance,noun,B1
assurance,noun,C2
appearance,noun,B2
assistant,noun,B1
coherence,noun,C2
bestseller,noun,B2
beginner,noun,A2
CD player,noun,A1
browser,noun,B2
backpacker,noun,B1
bumper,noun,B2
cleaner,noun,A2
babysitter,noun,B1
barber,noun,B1
builder,noun,B1
adviser,noun,C1
classic,noun,B2
characteristic,noun,B2
clothing,noun,B2
catering,noun,B2
central heating,noun,B1
boxing,noun,B1
camping,noun,A2
backpacking,noun,B1
booking,noun,B1
animation,noun,B1
allegation,noun,C1
addition,noun,B2
admission,noun,B2
admission,noun,B1
action,noun,B1
collection,noun,B2
action,noun,B2
calculation,noun,B2
admiration,noun,B2
ambition,noun,B2
appreciation,noun,B2
affection,noun,B2
attraction,noun,C2
celebration,noun,B1
adoption,noun,B2
application,noun,B2
capitalism,noun,C2
archaeologist,noun,C1
clarity,noun,C2
capacity,noun,B2
capacity,noun,B2
capacity,noun,C1
activity,noun,B2
argument,noun,B1
agreement,noun,B2
argument,noun,B2
agreement,noun,B2
arrangement,noun,B2
achievement,noun,B1
adjustment,noun,B2
assessment,noun,B2
amazement,noun,B2
amusement,noun,B2
astonishment,noun,B2
attachment,noun,B2
appointment,noun,C2
blindness,noun,C1
carelessness,noun,B2
cheerfulness,noun,C2
coldness,noun,C2
collector,noun,B2
ancestor,noun,B2
championship,noun,B1
bravery,noun,B2
addiction,noun,B2
abortion,noun,C1
animal,noun,A1
bird,noun,A1
cat,noun,A1
baby,noun,A2
bear,noun,A2
chicken,noun,A2
ant,noun,B1
bat,noun,B1
bee,noun,B1
bug,noun,B1
bull,noun,B1
butterfly,noun,B1
cage,noun,B1
calf,noun,B1
camel,noun,B1
breed,noun,B2
cell,noun,B2
collar,noun,B2
beak,noun,C1
bark,verb,B2
breed,verb,B2
book,noun,A1
camera,noun,A1
album,noun,A2
cartoon,noun,A2
cartoon,noun,A2
channel,noun,A2
clown,noun,A2
act,noun,B1
ad,noun,B1
advert,noun,B1
article,noun,B1
biography,noun,B1
chapter,noun,B1
character,noun,B1
chat show,noun,B1
circus,noun,B1
beat,noun,B2
cello,noun,B2
column,noun,B2
bow,noun,C2
art,noun,A2
cable,noun,B1
cinema,noun,C1
brass,noun,C2
ballet,noun,B1
background,noun,B2
accompany,verb,C2
act,verb,B1
advertise,verb,B1
broadcast,verb,B2
arm,noun,A1
body,noun,A1
accident,noun,A2
back,noun,A2
brain,noun,A2
cold,noun,A2
ache,noun,B1
ankle,noun,B1
body,noun,B1
bottom,noun,B1
breast,noun,B1
cheek,noun,B1
chin,noun,B1
beat,noun,B2
bite,noun,B2
breakdown,noun,B2
bruise,noun,B2
bug,noun,B2
chest,noun,B2
antibiotic,noun,C2
blister,noun,C2
calf,noun,C2
case,noun,C2
blood,noun,A2
breath,noun,B1
care,noun,B2
cholesterol,noun,C1
aspirin,noun,B1
backache,noun,B1
bandage,noun,B1
birth,noun,B1
bone,noun,B1
beat,verb,B1
bleed,verb,B1
ache,verb,B2
catch,verb,A2
burn,verb,B1
bump,verb,B2
carry,verb,C1
attack,verb,C2
breathe,verb,B1
coat,noun,A1
belt,noun,A2
boot,noun,A2
cap,noun,A2
bracelet,noun,B1
button,noun,B1
collar,noun,B1
badge,noun,B2
bikini,noun,B2
bow,noun,B2
bra,noun,B2
cardigan,noun,B2
answer,noun,A1
capital letter,noun,A2
card,noun,A2
accent,noun,B1
alarm,noun,B1
alphabet,noun,B1
brochure,noun,B1
call,noun,B1
card,noun,B1
certificate,noun,B1
accent,noun,B2
account,noun,B2
apostrophe,noun,B2
arrow,noun,B2
ban,noun,B2
booklet,noun,B2
chart,noun,B2
colon,noun,B2
appeal,noun,C1
character,noun,C1
claim,noun,C1
channel,noun,C2
cliché,noun,C2
advice,noun,A2
blame,noun,B2
chat,noun,A2
apology,noun,B1
code,noun,B2
attack,noun,C2
answer,noun,A2
chat,verb,A2
apologise,verb,B1
argue,verb,B1
check,verb,B2
cheer,verb,B2
appeal,verb,C1
ask,verb,A2
add,verb,B1
announce,verb,B1
approve,verb,B1
blame,verb,B1
amuse,verb,B2
assume,verb,B2
assure,verb,B2
call,verb,B2
capture,verb,B2
challenge,verb,B2
claim,verb,B2
attack,verb,C1
clarify,verb,C1
allege,verb,C2
answer,verb,A1
ask,verb,A1
agree,verb,A2
answer,verb,A2
admit,verb,B1
advise,verb,B1
ask,verb,B1
ask,verb,B1
ask,verb,B1
call,verb,B1
argue,verb,B2
beg,verb,B2
beg,verb,B2
boast,verb,B2
claim,verb,B2
call,verb,C1
bark,verb,C2
burglar,noun,B2
case,noun,B2
case,noun,B2
arrest,noun,B2
burglary,noun,B2
arrest,verb,B1
centimetre,noun,A2
circle,noun,A2
amount,noun,B1
average,noun,B1
bar,noun,B1
bunch,noun,B1
base,noun,B2
block,noun,B2
angle,noun,C1
acre,noun,C2
black,noun,A2
accuracy,noun,B2
colour,noun,A1
blue,noun,A2
brown,noun,A2
average,noun,B1
blackboard,noun,A2
candidate,noun,B1
branch,noun,B2
chemistry,noun,A2
class,noun,A1
bar,noun,A1
biscuit,noun,A1
café,noun,A1
barbecue,noun,A2
bean,noun,A2
bottle,noun,A2
bowl,noun,A2
burger,noun,A2
can,noun,A2
canteen,noun,B1
bite,noun,B2
bun,noun,B2
cherry,noun,B2
casserole,noun,C2
bread,noun,A1
butter,noun,A1
beef,noun,B1
broccoli,noun,B1
chewing gum,noun,B1
apple,noun,A1
banana,noun,A1
breakfast,noun,A1
cake,noun,A1
cheese,noun,A1
chocolate,noun,A1
coffee,noun,A1
carrot,noun,A2
cereal,noun,A2
chilli,noun,A2
cola,noun,A2
cabbage,noun,B1
coconut,noun,B1
aubergine,noun,B2
appetite,noun,C1
cereal,noun,C1
casserole,noun,C2
barbecue,verb,B1
boil,verb,B1
beat,verb,C1
bake,verb,A2
burn,verb,B1
address,noun,A1
bath,noun,A1
bathroom,noun,A1
bedroom,noun,A1
chair,noun,A1
apartment,noun,A2
armchair,noun,A2
blanket,noun,A2
board,noun,A2
bookcase,noun,A2
bookshelf,noun,A2
castle,noun,A2
ceiling,noun,A2
centre,noun,A2
area,noun,B1
balcony,noun,B1
basin,noun,B1
bin,noun,B1
block,noun,B1
candle,noun,B1
chest of drawers,noun,B1
barrier,noun,B2
basement,noun,B2
bench,noun,B2
brick,noun,B2
cabinet,noun,B2
cellar,noun,B2
chimney,noun,B2
cloth,noun,B2
column,noun,B2
cabin,noun,C1
balcony,noun,C2
air conditioning,noun,B1
architecture,noun,B1
bed,noun,A1
carpet,noun,A2
atmosphere,noun,B2
bank,noun,A1
cent,noun,A2
cheque,noun,A2
account,noun,B1
bank account,noun,B1
coin,noun,B1
award,noun,B2
balance,noun,B2
budget,noun,B2
bid,noun,C2
cash,noun,A2
change,noun,B1
change,noun,B1
borrow,verb,A2
change,verb,A2
borrow,verb,C1
beach,noun,A1
area,noun,A2
bay,noun,B1
branch,noun,B1
breeze,noun,B1
cave,noun,B1
cliff,noun,B1
coast,noun,B1
atom,noun,B2
bank,noun,B2
berry,noun,B2
bush,noun,B2
carbon footprint,noun,B2
cloud,noun,B2
bed,noun,C2
air,noun,A2
aluminium,noun,B2
carbon,noun,B2
carbon dioxide,noun,B2
carbon monoxide,noun,B2
climate change,noun,B2
astronomy,noun,C2
autumn,noun,A2
cloud,noun,A2
climate,noun,B1
acid,noun,B2
coastline,noun,C2
bottom,noun,B1
blow,verb,B1
break,verb,C2
break,verb,C2
boil,verb,A2
bath,noun,A1
check,noun,B1
act,noun,B2
attempt,noun,B2
capture,noun,C1
come,verb,A1
come,verb,A1
act,verb,B1
behave,verb,B1
blow,verb,B1
act,verb,B2
adjust,verb,B2
campaign,verb,C1
cling,verb,C2
carry,verb,A1
clean,verb,A1
colour,verb,A1
add,verb,A2
add,verb,A2
bring,verb,A2
brush,verb,A2
collect,verb,A2
collect,verb,A2
achieve,verb,B1
attach,verb,B1
attempt,verb,B1
avoid,verb,B1
bury,verb,B1
cancel,verb,B1
carry,verb,B1
catch,verb,B1
circle,verb,B1
clear,verb,B1
collect,verb,B1
acquire,verb,B2
adapt,verb,B2
adjust,verb,B2
adopt,verb,B2
analyse,verb,B2
arrange,verb,B2
assess,verb,B2
avoid,verb,B2
beat,verb,B2
burgle,verb,B2
bury,verb,B2
calculate,verb,B2
capture,verb,B2
clutch,verb,C2
catch,verb,A1
change,verb,A1
choose,verb,A1
close,verb,A1
check,verb,A2
climb,verb,A2
approach,verb,B1
arrange,verb,B1
attend,verb,B1
babysit,verb,B1
clap,verb,B1
assist,verb,B2
balance,verb,B2
bang,verb,B2
bend,verb,B2
brush,verb,B2
charge,verb,B2
chase,verb,B2
combine,verb,B2
blow,verb,C2
carve,verb,C2
adult,noun,A1
baby,noun,A1
beard,noun,A1
boy,noun,A1
comb,noun,A2
adolescent,noun,C2
beauty,noun,B1
childhood,noun,B1
bit,noun,A2
background,noun,B1
chance,noun,B2
bully,noun,C1
character,noun,C1
anger,noun,B2
anxiety,noun,B2
appeal,noun,B2
certainty,noun,B2
charisma,noun,C2
attitude,noun,B1
character,noun,B1
charm,noun,B2
care,verb,B1
appeal,verb,B2
approve,verb,B2
belong,verb,B2
blush,verb,B2
believe,verb,A2
bother,verb,A2
annoy,verb,B1
attract,verb,B1
admire,verb,B2
appreciate,verb,B2
bear,verb,B2
betray,verb,B2
bother,verb,B2
behave,verb,B1
care,verb,B1
cheat,verb,B2
capital,noun,A2
citizen,noun,B2
chancellor,noun,C2
centre,noun,C2
birthday,noun,A1
brother,noun,A1
aunt,noun,A2
boyfriend,noun,A2
anniversary,noun,B1
bride,noun,B1
ceremony,noun,B1
affair,noun,B2
bond,noun,B2
brother-in-law,noun,B2
circle,noun,B2
bond,verb,C2
call,verb,B1
celebrate,verb,B1
adopt,verb,B2
bag,noun,A1
ball,noun,A1
box,noun,A1
bat,noun,A2
board,noun,A2
board game,noun,A2
bookshop,noun,A2
card,noun,A2
basket,noun,B1
captain,noun,B1
chain,noun,B1
champion,noun,B1
checkout,noun,B1
arrow,noun,B2
brand,noun,B2
catalogue,noun,B2
business,noun,A1
badminton,noun,A2
chess,noun,A2
athletics,noun,B1
basketball,noun,A1
baseball,noun,A2
attack,noun,B1
come,verb,A2
appear,verb,B2
browse,verb,B2
beat,verb,B1
address,noun,A1
CD,noun,A1
button,noun,B1
card,noun,B1
backup,noun,B2
bookmark,noun,B2
breakdown,noun,B2
bug,noun,B2
bulb,noun,B2
chip,noun,B2
access,noun,B1
broadband,noun,B2
CD-ROM,noun,B1
cable,noun,B2
attach,verb,B1
access,verb,B2
bookmark,verb,B2
burn,verb,B2
browse,verb,B2
charge,verb,B2
boat,noun,A1
bus,noun,A1
car,noun,A1
aeroplane,noun,A2
airport,noun,A2
bicycle,noun,A2
bike,noun,A2
bus station,noun,A2
bus stop,noun,A2
car park,noun,A2
case,noun,A2
coach,noun,A2
boot,noun,B1
brake,noun,B1
cab,noun,B1
cabin,noun,B1
campsite,noun,B1
check-in (desk),noun,B1
check-in (counter),noun,B1
aircraft,noun,B2
captain,noun,B2
carriage,noun,C1
cabin,noun,C2
carriage,noun,C2
air,noun,A2
baggage,noun,B1
approach,noun,B2
adventure,noun,A2
camp,noun,B1
camp,verb,A2
accelerate,verb,C2
catch,verb,A1
carry,verb,B2
book,verb,A2
board,verb,B1
boss,noun,A2
business,noun,A2
businessman,noun,A2
businesswoman,noun,A2
agency,noun,B1
architect,noun,B1
career,noun,B1
agent,noun,B2
analyst,noun,B2
chief,noun,B2
client,noun,B2
bid,noun,C1
career,noun,C2
architecture,noun,B1
business,noun,B1
advertise,verb,B1
appoint,verb,C1
build,verb,A2
cigarette,noun,A2
addict,noun,B2
cancer,noun,B1
abuse,noun,C2
alcohol,noun,A2
champagne,noun,A2
bacon,noun,B1
beer,noun,A1
cathedral,noun,A2
church,noun,A2
bribe,noun,C1
bomb,verb,B1
arrival,noun,C1
arrival,noun,B1
approval,noun,B2
arrival,noun,C2
acquaintance,noun,C1
appliance,noun,C1
alliance,noun,C2
annoyance,noun,C1
acceptance,noun,C1
attendance,noun,C1
attendance,noun,C1
coherence,noun,C2
coincidence,noun,B2
baker,noun,B1
blogger,noun,B1
border,noun,B1
butcher,noun,B1
buyer,noun,B1
banker,noun,B2
climbing,noun,A2
advertising,noun,B2
banking,noun,B2
coaching,noun,B2
backing,noun,C2
ambition,noun,B1
application,noun,B1
attraction,noun,B1
collection,noun,B1
collection,noun,B1
addition,noun,B2
association,noun,B2
collocation,noun,B2
accusation,noun,C1
assumption,noun,C1
audition,noun,C1
allocation,noun,C2
accommodation,noun,B1
attention,noun,B1
administration,noun,C1
aggression,noun,C1
caution,noun,C1
civilization,noun,C1
action,noun,C2
allocation,noun,C2
anticipation,noun,C2
civilization,noun,B2
combination,noun,B2
adaptation,noun,C1
alteration,noun,C1
auction,noun,C1
cancellation,noun,C1
collaboration,noun,C1
accumulation,noun,C2
application,noun,C2
association,noun,C2
classification,noun,C2
action,noun,C2
artist,noun,A2
chemist,noun,A2
chemist,noun,B1
celebrity,noun,B1
authority,noun,C1
activity,noun,B2
authority,noun,B2
availability,noun,B2
charity,noun,C2
ability,noun,B1
charity,noun,B1
capability,noun,C1
ambiguity,noun,C2
alternative,noun,B2
authorize,verb,C1
appointment,noun,A2
arrangement,noun,B2
attachment,noun,B2
announcement,noun,B1
amusement,noun,B2
amendment,noun,C1
attachment,noun,C2
awareness,noun,C1
closeness,noun,C1
closeness,noun,C1
blindness,noun,C2
clumsiness,noun,C2
coldness,noun,C2
author,noun,B1
calculator,noun,B1
ambassador,noun,B2
administrator,noun,C1
anchor,noun,C2
anchor,noun,C2
bomber,noun,B2
bomber,noun,C2
alcoholic,noun,C2
board,noun,A1
child,noun,A1
cinema,noun,A1
city,noun,A1
classroom,noun,A1
clock,noun,A1
actor,noun,A2
adjective,noun,A2
adverb,noun,A2
alarm clock,noun,A2
album,noun,A2
ambulance,noun,A2
answer,noun,A2
balloon,noun,A2
barbecue,noun,A2
battery,noun,A2
bill,noun,A2
body,noun,A2
box,noun,A2
break,noun,A2
bridge,noun,A2
brush,noun,A2
calendar,noun,A2
call,noun,A2
case,noun,A2
centre,noun,A2
century,noun,A2
chef,noun,A2
class,noun,A2
classmate,noun,A2
click,noun,A2
colleague,noun,A2
accountant,noun,B1
age,noun,B1
aim,noun,B1
airline,noun,B1
alarm,noun,B1
answer,noun,B1
antique,noun,B1
article,noun,B1
athlete,noun,B1
backpack,noun,B1
bell,noun,B1
block,noun,B1
blog,noun,B1
book,noun,B1
branch,noun,B1
break,noun,B1
bucket,noun,B1
canal,noun,B1
case,noun,B1
cashpoint,noun,B1
chance,noun,B1
checkout,noun,B1
clinic,noun,B1
coach,noun,B1
affair,noun,B2
agent,noun,B2
animal,noun,B2
approach,noun,B2
area,noun,B2
aspect,noun,B2
bakery,noun,B2
bang,noun,B2
bar,noun,B2
bargain,noun,B2
barrier,noun,B2
base,noun,B2
basis,noun,B2
battle,noun,B2
beam,noun,B2
bell,noun,B2
bend,noun,B2
billion,noun,B2
blade,noun,B2
board,noun,B2
bonus,noun,B2
bonus,noun,B2
bow,noun,B2
breakthrough,noun,B2
bullet,noun,B2
candidate,noun,B2
carnival,noun,B2
category,noun,B2
cause,noun,B2
cell,noun,B2
cemetery,noun,B2
chain,noun,B2
citizen,noun,B2
claim,noun,B2
clause,noun,B2
clue,noun,B2
accessory,noun,C1
agency,noun,C1
agenda,noun,C1
aid,noun,C1
ally,noun,C1
amateur,noun,C1
amateur,noun,C1
angle,noun,C1
angle,noun,C1
asset,noun,C1
assignment,noun,C1
avenue,noun,C1
basis,noun,C1
basis,noun,C1
boundary,noun,C1
boundary,noun,C1
bracket,noun,C1
brain,noun,C1
break,noun,C1
breakdown,noun,C1
bubble,noun,C1
burden,noun,C1
call,noun,C1
campaign,noun,C1
campaign,noun,C1
cause,noun,C1
charge,noun,C1
chore,noun,C1
clutch,noun,C1
code,noun,C1
column,noun,C1
advocate,noun,C2
agenda,noun,C2
ally,noun,C2
arch,noun,C2
arm,noun,C2
assembly,noun,C2
attribute,noun,C2
avenue,noun,C2
band,noun,C2
bar,noun,C2
barn,noun,C2
base,noun,C2
base,noun,C2
battle,noun,C2
bed,noun,C2
bet,noun,C2
bid,noun,C2
blanket,noun,C2
blend,noun,C2
block,noun,C2
blow,noun,C2
blow,noun,C2
break,noun,C2
breakdown,noun,C2
bridge,noun,C2
buzz,noun,C2
care,noun,C2
case,noun,C2
ceiling,noun,C2
certainty,noun,C2
challenge,noun,C2
champion,noun,C2
chancellor,noun,C2
charm,noun,C2
chest,noun,C2
chill,noun,C2
circuit,noun,C2
circuit,noun,C2
circuit,noun,C2
civilian,noun,C2
clash,noun,C2
clash,noun,C2
climate,noun,C2
biology,noun,A2
chicken,noun,A2
access,noun,B1
behaviour,noun,B1
care,noun,B1
chance,noun,B1
absence,noun,B2
agriculture,noun,B2
balance,noun,B2
board,noun,B2
cardboard,noun,B2
centigrade,noun,B2
chaos,noun,B2
cloth,noun,B2
aid,noun,C1
applause,noun,C1
archaeology,noun,C1
brass,noun,C1
coal,noun,C1
age,noun,C2
alarm,noun,C2
artificial intelligence,noun,C2
assembly,noun,C2
awe,noun,C2
baggage,noun,C2
bark,noun,C2
blackmail,noun,C2
blood,noun,C2
bribery,noun,C2
bureaucracy,noun,C2
cause,noun,C2
colour,noun,C2
colour,noun,C2
afternoon,noun,A1
age,noun,A1
April,noun,A1
August,noun,A1
building,noun,A2
chain,noun,A2
change,noun,A2
change,noun,A2
college,noun,A2
advantage,noun,B1
attack,noun,B1
battle,noun,B1
benefit,noun,B1
challenge,noun,B1
chance,noun,B1
charge,noun,B1
cod,noun,B1
absence,noun,B2
advance,noun,B2
advantage,noun,B2
analysis,noun,B2
backup,noun,B2
belief,noun,B2
campus,noun,B2
class,noun,B2
collapse,noun,B2
art,noun,C1
analogy,noun,C2
bias,noun,C2
bureaucracy,noun,C2
burial,noun,C2
cargo,noun,C2
catastrophe,noun,C2
belongings,noun,B2
bacteria,noun,C1
bottom,noun,A2
atmosphere,noun,B1
bottom,noun,B1
background,noun,B2
brush,noun,B2
act,noun,C2
air,noun,C2
buzz,noun,C2
chill,noun,C2
change,noun,B1
begin,verb,A1
come,verb,A1
arrive,verb,A2
chat,verb,A2
close,verb,A2
appear,verb,B1
appear,verb,B1
apply,verb,B1
blog,verb,B1
burn,verb,B1
agree,verb,B2
apply,verb,B2
belong,verb,B2
brake,verb,B2
climb,verb,B2
collapse,verb,B2
collapse,verb,B2
come,verb,B2
agree,verb,C1
arise,verb,C1
beware,verb,C1
collaborate,verb,C1
appeal,verb,C2
bubble,verb,C2
buzz,verb,C2
buzz,verb,C2
clash,verb,C2
clash,verb,C2
clash,verb,C2
coincide,verb,C2
coincide,verb,C2
collapse,verb,C2
buy,verb,A1
believe,verb,A2
accompany,verb,B1
admire,verb,B1
allow,verb,B1
answer,verb,B1
change,verb,B1
comb,verb,B1
abandon,verb,B2
abolish,verb,B2
absorb,verb,B2
accept,verb,B2
accept,verb,B2
accuse,verb,B2
affect,verb,B2
amuse,verb,B2
approach,verb,B2
balance,verb,B2
block,verb,B2
boost,verb,B2
burn,verb,B2
catch,verb,B2
catch,verb,B2
cause,verb,B2
chop,verb,B2
abandon,verb,C1
absorb,verb,C1
accomplish,verb,C1
acknowledge,verb,C1
address,verb,C1
alarm,verb,C1
allocate,verb,C1
allow,verb,C1
anticipate,verb,C1
apply,verb,C1
assign,verb,C1
associate,verb,C1
assure,verb,C1
attain,verb,C1
beat,verb,C1
block,verb,C1
bully,verb,C1
cap,verb,C1
classify,verb,C1
address,verb,C2
advocate,verb,C2
alert,verb,C2
allow,verb,C2
amend,verb,C2
appreciate,verb,C2
arouse,verb,C2
assemble,verb,C2
attach,verb,C2
back,verb,C2
bind,verb,C2
bind,verb,C2
blackmail,verb,C2
block,verb,C2
boast,verb,C2
carry,verb,C2
carry,verb,C2
chase,verb,C2
cloud,verb,C2
colour,verb,C2
begin,verb,A2
break,verb,A2
break,verb,A2
call,verb,A2
change,verb,A2
change,verb,A2
change,verb,A2
click,verb,A2
accept,verb,B1
agree,verb,B1
attack,verb,B1
bite,verb,B1
boil,verb,B1
break,verb,B1
burn,verb,B1
charge,verb,B1
check,verb,B1
alter,verb,B2
bend,verb,B2
benefit,verb,B2
blink,verb,B2
bother,verb,B2
bounce,verb,B2
break,verb,B2
burst,verb,B2
chew,verb,B2
chew,verb,B2
close,verb,B2
coach,verb,B2
collect,verb,B2
accelerate,verb,C1
accumulate,verb,C1
allow,verb,C1
applaud,verb,C1
bet,verb,C1
broaden,verb,C1
cater,verb,C1
arch,verb,C2
assemble,verb,C2
battle,verb,C2
beat,verb,C2
break,verb,C2
catch,verb,C2
circle,verb,C2
click,verb,C2
air force,noun,B1
angel,noun,B1
barman,noun,B1
bomb,noun,B1
chapel,noun,C2
abuse,noun,B2
abuse,noun,B2
bombing,noun,B2
abuse,noun,C1
assault,noun,C2
combat,noun,C2
bribe,verb,C1
assault,verb,C2
combat,verb,C2
boiling,adjective,B2
bear,verb,C2
adjacent,adjective,C2
awesome,adjective,A2
big,adjective,C1
blue,adjective,C2
cast,verb,C2
acceptable,adjective,B1
capable,adjective,B2
available,adjective,A2
clinical,adjective,C1
alphabetical,adjective,B2
additional,adjective,B2
artificial,adjective,B2
beneficial,adjective,B2
chemical,adjective,B2
coastal,adjective,B2
artificial,adjective,C2
clinical,adjective,C2
arrogant,adjective,B2
animated,adjective,B1
addicted,adjective,B2
advanced,adjective,A2
advanced,adjective,B1
boiled,adjective,A2
canned,adjective,B2
bored,adjective,A1
amazed,adjective,B1
annoyed,adjective,B1
ashamed,adjective,B1
addicted,adjective,B2
amused,adjective,B2
astonished,adjective,B2
bad-tempered,adjective,B2
bothered,adjective,B2
animated,adjective,C2
closed,adjective,C2
adopted,adjective,B2
closed,adjective,A1
better,adjective,A1
better,adjective,A1
beautiful,adjective,A1
colourful,adjective,B1
beautiful,adjective,A1
careful,adjective,A2
cheerful,adjective,B1
cheerful,adjective,B2
artistic,adjective,B2
classic,adjective,B2
chronic,adjective,C2
basic,adjective,B1
basic,adjective,B1
basic,adjective,B1
authentic,adjective,C1
academic,adjective,B2
academic,adjective,C2
apologetic,adjective,C2
charismatic,adjective,C2
atomic,adjective,B2
automatic,adjective,B2
amazing,adjective,A2
amusing,adjective,B1
appalling,adjective,C1
appalling,adjective,C2
boring,adjective,A1
amazing,adjective,B1
annoying,adjective,B1
charming,adjective,B1
astonishing,adjective,B2
caring,adjective,B2
circulation,noun,C2
circulation,noun,C2
childish,adjective,B2
childish,adjective,B2
capitalist,adjective,C2
active,adjective,C1
attractive,adjective,A2
aggressive,adjective,B2
assertive,adjective,C2
careless,adjective,B1
actually,adverb,A2
badly,adverb,A2
badly,adverb,A2
certainly,adverb,A2
certainly,adverb,A2
clearly,adverb,A2
absolutely,adverb,B1
actually,adverb,B1
clearly,adverb,B1
actually,adverb,B2
admittedly,adverb,B2
alternatively,adverb,B2
apparently,adverb,B2
apparently,adverb,B2
basically,adverb,C1
badly,adverb,A2
approximately,adverb,B1
adequately,adverb,B2
badly,adverb,B2
barely,adverb,B2
brightly,adverb,B2
beautifully,adverb,B1
amazingly,adverb,B1
angrily,adverb,B1
bravely,adverb,B1
aggressively,adverb,B2
anxiously,adverb,B2
boldly,adverb,B2
brilliantly,adverb,B2
calmly,adverb,B2
carelessly,adverb,B2
cheerfully,adverb,B2
closely,adverb,B2
automatically,adverb,B2
arrangement,noun,B1
anxious,adjective,B1
adventurous,adjective,B2
ambitious,adjective,B2
anxious,adjective,B2
cautious,adjective,B2
bloody,adjective,B2
chatty,adjective,C1
bulky,adjective,C1
cloudy,adjective,A2
chatty,adjective,C1
alcoholic,adjective,B1
alcoholic,adjective,C2
biological,adjective,B2
abstract,adjective,B2
band,noun,A1
audience,noun,B1
audience,noun,B2
cast,noun,B2
choir,noun,B2
all right,adjective,A2
alright,adjective,A2
alive,adjective,B1
asleep,adjective,B1
awake,adjective,B1
blind,adjective,B1
bump,noun,C1
casual,adjective,B1
brief,adjective,B1
absolute,adjective,B2
clichéd,adjective,C2
coherent,adjective,C2
anyway,adverb,A2
anyway,adverb,A2
back,adverb,A2
anyway,adverb,B1
besides,adverb,B1
anyhow,adverb,B2
anyhow,adverb,B2
anyhow,adverb,B2
anyhow,adverb,C1
bracket,noun,B2
ban,verb,B2
bad,adjective,A1
best,adjective,A1
big,adjective,A1
black,adjective,A1
blue,adjective,A1
brown,adjective,A1
clean,adjective,A1
close,adjective,A1
back,adjective,A2
bad,adjective,A2
big,adjective,A2
bright,adjective,A2
brilliant,adjective,A2
broken,adjective,A2
clear,adjective,A2
accurate,adjective,B1
ancient,adjective,B1
antique,adjective,B1
average,adjective,B1
awful,adjective,B1
bad,adjective,B1
bad,adjective,B1
blank,adjective,B1
bold,adjective,B1
brand new,adjective,B1
brilliant,adjective,B1
broad,adjective,B1
clever,adjective,B1
absurd,adjective,B2
adequate,adjective,B2
adequate,adjective,B2
appropriate,adjective,B2
approximate,adjective,B2
average,adjective,B2
bare,adjective,B2
bizarre,adjective,B2
breathtaking,adjective,B2
circular,adjective,B2
abnormal,adjective,C1
average,adjective,C1
awesome,adjective,C2
bland,adjective,C2
bleak,adjective,C2
above,adverb,A1
back,adverb,A1
below,adverb,A1
