word,pos,cefr_int,cefr
collar,NOUN,3,B
badge,NOUN,4,B
bikini,NOUN,4,B
bow,NOUN,4,B
bra,NOUN,4,B
cardigan,NOUN,4,B
answer,NOUN,1,A
card,NOUN,2,A
accent,NOUN,3,B
alarm,NOUN,3,B
alphabet,NOUN,3,B
brochure,NOUN,3,B
call,NOUN,3,B
card,NOUN,3,B
certificate,NOUN,3,B
accent,NOUN,4,B
account,NOUN,4,B
apostrophe,NOUN,4,B
arrow,NOUN,4,B
ban,NOUN,4,B
booklet,NOUN,4,B
chart,NOUN,4,B
colon,NOUN,4,B
appeal,NOUN,5,C
character,NOUN,5,C
claim,NOUN,5,C
channel,NOUN,6,C
cliché,NOUN,6,C
advice,NOUN,2,A
blame,NOUN,4,B
chat,NOUN,2,A
apology,NOUN,3,B
code,NOUN,4,B
attack,NOUN,6,C
answer,NOUN,2,A
chat,VERB,2,A
apologise,VERB,3,B
argue,VERB,3,B
check,VERB,4,B
cheer,VERB,4,B
appeal,VERB,5,C
ask,VERB,2,A
add,VERB,3,B
announce,VERB,3,B
approve,VERB,3,B
blame,VERB,3,B
amuse,VERB,4,B
assume,VERB,4,B
assure,VERB,4,B
call,VERB,4,B
capture,VERB,4,B
challenge,VERB,4,B
claim,VERB,4,B
attack,VERB,5,C
clarify,VERB,5,C
allege,VERB,6,C
answer,VERB,1,A
ask,VERB,1,A
agree,VERB,2,A
answer,VERB,2,A
admit,VERB,3,B
advise,VERB,3,B
ask,VERB,3,B
ask,VERB,3,B
ask,VERB,3,B
call,VERB,3,B
argue,VERB,4,B
beg,VERB,4,B
beg,VERB,4,B
boast,VERB,4,B
claim,VERB,4,B
call,VERB,5,C
bark,VERB,6,C
burglar,NOUN,4,B
case,NOUN,4,B
case,NOUN,4,B
arrest,NOUN,4,B
burglary,NOUN,4,B
arrest,VERB,3,B
centimetre,NOUN,2,A
circle,NOUN,2,A
amount,NOUN,3,B
average,NOUN,3,B
bar,NOUN,3,B
bunch,NOUN,3,B
base,NOUN,4,B
block,NOUN,4,B
angle,NOUN,5,C
acre,NOUN,6,C
black,NOUN,2,A
accuracy,NOUN,4,B
colour,NOUN,1,A
blue,NOUN,2,A
brown,NOUN,2,A
average,NOUN,3,B
blackboard,NOUN,2,A
candidate,NOUN,3,B
branch,NOUN,4,B
chemistry,NOUN,2,A
class,NOUN,1,A
bar,NOUN,1,A
biscuit,NOUN,1,A
café,NOUN,1,A
barbecue,NOUN,2,A
bean,NOUN,2,A
bottle,NOUN,2,A
bowl,NOUN,2,A
burger,NOUN,2,A
can,NOUN,2,A
canteen,NOUN,3,B
bite,NOUN,4,B
bun,NOUN,4,B
cherry,NOUN,4,B
casserole,NOUN,6,C
bread,NOUN,1,A
butter,NOUN,1,A
beef,NOUN,3,B
broccoli,NOUN,3,B
apple,NOUN,1,A
banana,NOUN,1,A
breakfast,NOUN,1,A
cake,NOUN,1,A
cheese,NOUN,1,A
chocolate,NOUN,1,A
coffee,NOUN,1,A
carrot,NOUN,2,A
cereal,NOUN,2,A
chilli,NOUN,2,A
cola,NOUN,2,A
cabbage,NOUN,3,B
coconut,NOUN,3,B
aubergine,NOUN,4,B
appetite,NOUN,5,C
cereal,NOUN,5,C
casserole,NOUN,6,C
barbecue,VERB,3,B
boil,VERB,3,B
beat,VERB,5,C
bake,VERB,2,A
burn,VERB,3,B
address,NOUN,1,A
bath,NOUN,1,A
bathroom,NOUN,1,A
bedroom,NOUN,1,A
chair,NOUN,1,A
apartment,NOUN,2,A
armchair,NOUN,2,A
blanket,NOUN,2,A
board,NOUN,2,A
bookcase,NOUN,2,A
bookshelf,NOUN,2,A
castle,NOUN,2,A
ceiling,NOUN,2,A
centre,NOUN,2,A
area,NOUN,3,B
balcony,NOUN,3,B
basin,NOUN,3,B
bin,NOUN,3,B
block,NOUN,3,B
candle,NOUN,3,B
barrier,NOUN,4,B
basement,NOUN,4,B
bench,NOUN,4,B
brick,NOUN,4,B
cabinet,NOUN,4,B
cellar,NOUN,4,B
chimney,NOUN,4,B
cloth,NOUN,4,B
column,NOUN,4,B
cabin,NOUN,5,C
balcony,NOUN,6,C
architecture,NOUN,3,B
bed,NOUN,1,A
carpet,NOUN,2,A
atmosphere,NOUN,4,B
bank,NOUN,1,A
cent,NOUN,2,A
cheque,NOUN,2,A
account,NOUN,3,B
coin,NOUN,3,B
award,NOUN,4,B
balance,NOUN,4,B
budget,NOUN,4,B
bid,NOUN,6,C
cash,NOUN,2,A
change,NOUN,3,B
change,NOUN,3,B
borrow,VERB,2,A
change,VERB,2,A
borrow,VERB,5,C
beach,NOUN,1,A
area,NOUN,2,A
bay,NOUN,3,B
branch,NOUN,3,B
breeze,NOUN,3,B
cave,NOUN,3,B
cliff,NOUN,3,B
coast,NOUN,3,B
atom,NOUN,4,B
bank,NOUN,4,B
berry,NOUN,4,B
bush,NOUN,4,B
cloud,NOUN,4,B
bed,NOUN,6,C
air,NOUN,2,A
aluminium,NOUN,4,B
carbon,NOUN,4,B
astronomy,NOUN,6,C
autumn,NOUN,2,A
cloud,NOUN,2,A
climate,NOUN,3,B
acid,NOUN,4,B
coastline,NOUN,6,C
bottom,NOUN,3,B
blow,VERB,3,B
break,VERB,6,C
break,VERB,6,C
boil,VERB,2,A
bath,NOUN,1,A
check,NOUN,3,B
act,NOUN,4,B
attempt,NOUN,4,B
capture,NOUN,5,C
come,VERB,1,A
come,VERB,1,A
act,VERB,3,B
behave,VERB,3,B
blow,VERB,3,B
act,VERB,4,B
adjust,VERB,4,B
campaign,VERB,5,C
cling,VERB,6,C
carry,VERB,1,A
clean,VERB,1,A
colour,VERB,1,A
add,VERB,2,A
add,VERB,2,A
bring,VERB,2,A
brush,VERB,2,A
collect,VERB,2,A
collect,VERB,2,A
achieve,VERB,3,B
attach,VERB,3,B
attempt,VERB,3,B
avoid,VERB,3,B
bury,VERB,3,B
cancel,VERB,3,B
carry,VERB,3,B
catch,VERB,3,B
circle,VERB,3,B
clear,VERB,3,B
collect,VERB,3,B
acquire,VERB,4,B
adapt,VERB,4,B
adjust,VERB,4,B
adopt,VERB,4,B
analyse,VERB,4,B
arrange,VERB,4,B
assess,VERB,4,B
avoid,VERB,4,B
beat,VERB,4,B
burgle,VERB,4,B
bury,VERB,4,B
calculate,VERB,4,B
capture,VERB,4,B
clutch,VERB,6,C
catch,VERB,1,A
change,VERB,1,A
choose,VERB,1,A
close,VERB,1,A
check,VERB,2,A
climb,VERB,2,A
approach,VERB,3,B
arrange,VERB,3,B
attend,VERB,3,B
babysit,VERB,3,B
clap,VERB,3,B
assist,VERB,4,B
balance,VERB,4,B
bang,VERB,4,B
bend,VERB,4,B
brush,VERB,4,B
charge,VERB,4,B
chase,VERB,4,B
combine,VERB,4,B
blow,VERB,6,C
carve,VERB,6,C
adult,NOUN,1,A
baby,NOUN,1,A
beard,NOUN,1,A
boy,NOUN,1,A
comb,NOUN,2,A
adolescent,NOUN,6,C
beauty,NOUN,3,B
childhood,NOUN,3,B
bit,NOUN,2,A
background,NOUN,3,B
chance,NOUN,4,B
bully,NOUN,5,C
character,NOUN,5,C
anger,NOUN,4,B
anxiety,NOUN,4,B
appeal,NOUN,4,B
certainty,NOUN,4,B
charisma,NOUN,6,C
attitude,NOUN,3,B
character,NOUN,3,B
charm,NOUN,4,B
care,VERB,3,B
appeal,VERB,4,B
approve,VERB,4,B
belong,VERB,4,B
blush,VERB,4,B
believe,VERB,2,A
bother,VERB,2,A
annoy,VERB,3,B
attract,VERB,3,B
admire,VERB,4,B
appreciate,VERB,4,B
bear,VERB,4,B
betray,VERB,4,B
bother,VERB,4,B
behave,VERB,3,B
care,VERB,3,B
cheat,VERB,4,B
capital,NOUN,2,A
citizen,NOUN,4,B
chancellor,NOUN,6,C
centre,NOUN,6,C
birthday,NOUN,1,A
brother,NOUN,1,A
aunt,NOUN,2,A
boyfriend,NOUN,2,A
anniversary,NOUN,3,B
bride,NOUN,3,B
ceremony,NOUN,3,B
affair,NOUN,4,B
bond,NOUN,4,B
brother-in-law,NOUN,4,B
circle,NOUN,4,B
bond,VERB,6,C
call,VERB,3,B
celebrate,VERB,3,B
adopt,VERB,4,B
bag,NOUN,1,A
ball,NOUN,1,A
box,NOUN,1,A
bat,NOUN,2,A
board,NOUN,2,A
bookshop,NOUN,2,A
card,NOUN,2,A
basket,NOUN,3,B
captain,NOUN,3,B
chain,NOUN,3,B
champion,NOUN,3,B
checkout,NOUN,3,B
arrow,NOUN,4,B
brand,NOUN,4,B
catalogue,NOUN,4,B
business,NOUN,1,A
badminton,NOUN,2,A
chess,NOUN,2,A
athletics,NOUN,3,B
basketball,NOUN,1,A
baseball,NOUN,2,A
attack,NOUN,3,B
come,VERB,2,A
appear,VERB,4,B
browse,VERB,4,B
beat,VERB,3,B
address,NOUN,1,A
CD,NOUN,1,A
button,NOUN,3,B
card,NOUN,3,B
backup,NOUN,4,B
bookmark,NOUN,4,B
breakdown,NOUN,4,B
bug,NOUN,4,B
bulb,NOUN,4,B
chip,NOUN,4,B
access,NOUN,3,B
broadband,NOUN,4,B
CD-ROM,NOUN,3,B
cable,NOUN,4,B
attach,VERB,3,B
access,VERB,4,B
bookmark,VERB,4,B
burn,VERB,4,B
browse,VERB,4,B
charge,VERB,4,B
boat,NOUN,1,A
bus,NOUN,1,A
car,NOUN,1,A
aeroplane,NOUN,2,A
airport,NOUN,2,A
bicycle,NOUN,2,A
bike,NOUN,2,A
case,NOUN,2,A
coach,NOUN,2,A
boot,NOUN,3,B
brake,NOUN,3,B
cab,NOUN,3,B
cabin,NOUN,3,B
campsite,NOUN,3,B
aircraft,NOUN,4,B
captain,NOUN,4,B
carriage,NOUN,5,C
cabin,NOUN,6,C
carriage,NOUN,6,C
air,NOUN,2,A
baggage,NOUN,3,B
approach,NOUN,4,B
adventure,NOUN,2,A
camp,NOUN,3,B
camp,VERB,2,A
accelerate,VERB,6,C
catch,VERB,1,A
carry,VERB,4,B
book,VERB,2,A
board,VERB,3,B
boss,NOUN,2,A
business,NOUN,2,A
businessman,NOUN,2,A
businesswoman,NOUN,2,A
agency,NOUN,3,B
architect,NOUN,3,B
career,NOUN,3,B
agent,NOUN,4,B
analyst,NOUN,4,B
chief,NOUN,4,B
client,NOUN,4,B
bid,NOUN,5,C
career,NOUN,6,C
architecture,NOUN,3,B
business,NOUN,3,B
advertise,VERB,3,B
appoint,VERB,5,C
build,VERB,2,A
cigarette,NOUN,2,A
addict,NOUN,4,B
cancer,NOUN,3,B
abuse,NOUN,6,C
alcohol,NOUN,2,A
champagne,NOUN,2,A
bacon,NOUN,3,B
beer,NOUN,1,A
cathedral,NOUN,2,A
church,NOUN,2,A
bribe,NOUN,5,C
bomb,VERB,3,B
arrival,NOUN,5,C
arrival,NOUN,3,B
approval,NOUN,4,B
arrival,NOUN,6,C
acquaintance,NOUN,5,C
appliance,NOUN,5,C
alliance,NOUN,6,C
annoyance,NOUN,5,C
acceptance,NOUN,5,C
attendance,NOUN,5,C
attendance,NOUN,5,C
coherence,NOUN,6,C
coincidence,NOUN,4,B
baker,NOUN,3,B
blogger,NOUN,3,B
border,NOUN,3,B
butcher,NOUN,3,B
buyer,NOUN,3,B
banker,NOUN,4,B
climbing,NOUN,2,A
advertising,NOUN,4,B
banking,NOUN,4,B
coaching,NOUN,4,B
backing,NOUN,6,C
ambition,NOUN,3,B
application,NOUN,3,B
attraction,NOUN,3,B
collection,NOUN,3,B
collection,NOUN,3,B
addition,NOUN,4,B
association,NOUN,4,B
collocation,NOUN,4,B
accusation,NOUN,5,C
assumption,NOUN,5,C
audition,NOUN,5,C
allocation,NOUN,6,C
accommodation,NOUN,3,B
attention,NOUN,3,B
administration,NOUN,5,C
aggression,NOUN,5,C
caution,NOUN,5,C
civilization,NOUN,5,C
action,NOUN,6,C
allocation,NOUN,6,C
anticipation,NOUN,6,C
civilization,NOUN,4,B
combination,NOUN,4,B
adaptation,NOUN,5,C
alteration,NOUN,5,C
auction,NOUN,5,C
cancellation,NOUN,5,C
collaboration,NOUN,5,C
accumulation,NOUN,6,C
application,NOUN,6,C
association,NOUN,6,C
classification,NOUN,6,C
action,NOUN,6,C
artist,NOUN,2,A
chemist,NOUN,2,A
chemist,NOUN,3,B
celebrity,NOUN,3,B
authority,NOUN,5,C
activity,NOUN,4,B
authority,NOUN,4,B
availability,NOUN,4,B
charity,NOUN,6,C
ability,NOUN,3,B
charity,NOUN,3,B
capability,NOUN,5,C
ambiguity,NOUN,6,C
alternative,NOUN,4,B
authorize,VERB,5,C
appointment,NOUN,2,A
arrangement,NOUN,4,B
attachment,NOUN,4,B
announcement,NOUN,3,B
amusement,NOUN,4,B
amendment,NOUN,5,C
attachment,NOUN,6,C
awareness,NOUN,5,C
closeness,NOUN,5,C
closeness,NOUN,5,C
blindness,NOUN,6,C
clumsiness,NOUN,6,C
coldness,NOUN,6,C
author,NOUN,3,B
calculator,NOUN,3,B
ambassador,NOUN,4,B
administrator,NOUN,5,C
anchor,NOUN,6,C
anchor,NOUN,6,C
bomber,NOUN,4,B
bomber,NOUN,6,C
alcoholic,NOUN,6,C
board,NOUN,1,A
child,NOUN,1,A
cinema,NOUN,1,A
city,NOUN,1,A
classroom,NOUN,1,A
clock,NOUN,1,A
actor,NOUN,2,A
adjective,NOUN,2,A
adverb,NOUN,2,A
album,NOUN,2,A
ambulance,NOUN,2,A
answer,NOUN,2,A
balloon,NOUN,2,A
barbecue,NOUN,2,A
battery,NOUN,2,A
bill,NOUN,2,A
body,NOUN,2,A
box,NOUN,2,A
break,NOUN,2,A
bridge,NOUN,2,A
brush,NOUN,2,A
calendar,NOUN,2,A
call,NOUN,2,A
case,NOUN,2,A
centre,NOUN,2,A
century,NOUN,2,A
chef,NOUN,2,A
class,NOUN,2,A
classmate,NOUN,2,A
click,NOUN,2,A
colleague,NOUN,2,A
accountant,NOUN,3,B
age,NOUN,3,B
aim,NOUN,3,B
airline,NOUN,3,B
alarm,NOUN,3,B
answer,NOUN,3,B
antique,NOUN,3,B
article,NOUN,3,B
athlete,NOUN,3,B
backpack,NOUN,3,B
bell,NOUN,3,B
block,NOUN,3,B
blog,NOUN,3,B
book,NOUN,3,B
branch,NOUN,3,B
break,NOUN,3,B
bucket,NOUN,3,B
canal,NOUN,3,B
case,NOUN,3,B
cashpoint,NOUN,3,B
chance,NOUN,3,B
checkout,NOUN,3,B
clinic,NOUN,3,B
coach,NOUN,3,B
affair,NOUN,4,B
agent,NOUN,4,B
animal,NOUN,4,B
approach,NOUN,4,B
area,NOUN,4,B
aspect,NOUN,4,B
bakery,NOUN,4,B
bang,NOUN,4,B
bar,NOUN,4,B
bargain,NOUN,4,B
barrier,NOUN,4,B
base,NOUN,4,B
basis,NOUN,4,B
battle,NOUN,4,B
beam,NOUN,4,B
bell,NOUN,4,B
bend,NOUN,4,B
billion,NOUN,4,B
blade,NOUN,4,B
board,NOUN,4,B
bonus,NOUN,4,B
bonus,NOUN,4,B
bow,NOUN,4,B
breakthrough,NOUN,4,B
bullet,NOUN,4,B
candidate,NOUN,4,B
carnival,NOUN,4,B
category,NOUN,4,B
cause,NOUN,4,B
cell,NOUN,4,B
cemetery,NOUN,4,B
chain,NOUN,4,B
citizen,NOUN,4,B
claim,NOUN,4,B
clause,NOUN,4,B
clue,NOUN,4,B
accessory,NOUN,5,C
agency,NOUN,5,C
agenda,NOUN,5,C
aid,NOUN,5,C
ally,NOUN,5,C
amateur,NOUN,5,C
amateur,NOUN,5,C
angle,NOUN,5,C
angle,NOUN,5,C
asset,NOUN,5,C
assignment,NOUN,5,C
avenue,NOUN,5,C
basis,NOUN,5,C
basis,NOUN,5,C
boundary,NOUN,5,C
boundary,NOUN,5,C
bracket,NOUN,5,C
brain,NOUN,5,C
break,NOUN,5,C
breakdown,NOUN,5,C
bubble,NOUN,5,C
burden,NOUN,5,C
call,NOUN,5,C
campaign,NOUN,5,C
campaign,NOUN,5,C
cause,NOUN,5,C
charge,NOUN,5,C
chore,NOUN,5,C
clutch,NOUN,5,C
code,NOUN,5,C
column,NOUN,5,C
advocate,NOUN,6,C
agenda,NOUN,6,C
ally,NOUN,6,C
arch,NOUN,6,C
arm,NOUN,6,C
assembly,NOUN,6,C
attribute,NOUN,6,C
avenue,NOUN,6,C
band,NOUN,6,C
bar,NOUN,6,C
barn,NOUN,6,C
base,NOUN,6,C
base,NOUN,6,C
battle,NOUN,6,C
bed,NOUN,6,C
bet,NOUN,6,C
bid,NOUN,6,C
blanket,NOUN,6,C
blend,NOUN,6,C
block,NOUN,6,C
blow,NOUN,6,C
blow,NOUN,6,C
break,NOUN,6,C
breakdown,NOUN,6,C
bridge,NOUN,6,C
buzz,NOUN,6,C
care,NOUN,6,C
case,NOUN,6,C
ceiling,NOUN,6,C
certainty,NOUN,6,C
challenge,NOUN,6,C
champion,NOUN,6,C
chancellor,NOUN,6,C
charm,NOUN,6,C
chest,NOUN,6,C
chill,NOUN,6,C
circuit,NOUN,6,C
circuit,NOUN,6,C
circuit,NOUN,6,C
civilian,NOUN,6,C
clash,NOUN,6,C
clash,NOUN,6,C
climate,NOUN,6,C
biology,NOUN,2,A
chicken,NOUN,2,A
access,NOUN,3,B
behaviour,NOUN,3,B
care,NOUN,3,B
chance,NOUN,3,B
absence,NOUN,4,B
agriculture,NOUN,4,B
balance,NOUN,4,B
board,NOUN,4,B
cardboard,NOUN,4,B
centigrade,NOUN,4,B
chaos,NOUN,4,B
cloth,NOUN,4,B
aid,NOUN,5,C
applause,NOUN,5,C
archaeology,NOUN,5,C
brass,NOUN,5,C
coal,NOUN,5,C
age,NOUN,6,C
alarm,NOUN,6,C
assembly,NOUN,6,C
awe,NOUN,6,C
baggage,NOUN,6,C
bark,NOUN,6,C
blackmail,NOUN,6,C
blood,NOUN,6,C
bribery,NOUN,6,C
bureaucracy,NOUN,6,C
cause,NOUN,6,C
colour,NOUN,6,C
colour,NOUN,6,C
afternoon,NOUN,1,A
age,NOUN,1,A
April,NOUN,1,A
August,NOUN,1,A
building,NOUN,2,A
chain,NOUN,2,A
change,NOUN,2,A
change,NOUN,2,A
college,NOUN,2,A
advantage,NOUN,3,B
attack,NOUN,3,B
battle,NOUN,3,B
benefit,NOUN,3,B
challenge,NOUN,3,B
chance,NOUN,3,B
charge,NOUN,3,B
cod,NOUN,3,B
absence,NOUN,4,B
advance,NOUN,4,B
advantage,NOUN,4,B
analysis,NOUN,4,B
backup,NOUN,4,B
belief,NOUN,4,B
campus,NOUN,4,B
class,NOUN,4,B
collapse,NOUN,4,B
art,NOUN,5,C
analogy,NOUN,6,C
bias,NOUN,6,C
bureaucracy,NOUN,6,C
burial,NOUN,6,C
cargo,NOUN,6,C
catastrophe,NOUN,6,C
belongings,NOUN,4,B
bacteria,NOUN,5,C
bottom,NOUN,2,A
atmosphere,NOUN,3,B
bottom,NOUN,3,B
background,NOUN,4,B
brush,NOUN,4,B
act,NOUN,6,C
air,NOUN,6,C
buzz,NOUN,6,C
chill,NOUN,6,C
change,NOUN,3,B
begin,VERB,1,A
come,VERB,1,A
arrive,VERB,2,A
chat,VERB,2,A
close,VERB,2,A
appear,VERB,3,B
appear,VERB,3,B
apply,VERB,3,B
blog,VERB,3,B
burn,VERB,3,B
agree,VERB,4,B
apply,VERB,4,B
belong,VERB,4,B
brake,VERB,4,B
climb,VERB,4,B
collapse,VERB,4,B
collapse,VERB,4,B
come,VERB,4,B
agree,VERB,5,C
arise,VERB,5,C
beware,VERB,5,C
collaborate,VERB,5,C
appeal,VERB,6,C
bubble,VERB,6,C
buzz,VERB,6,C
buzz,VERB,6,C
clash,VERB,6,C
clash,VERB,6,C
clash,VERB,6,C
coincide,VERB,6,C
coincide,VERB,6,C
collapse,VERB,6,C
buy,VERB,1,A
believe,VERB,2,A
accompany,VERB,3,B
admire,VERB,3,B
allow,VERB,3,B
answer,VERB,3,B
change,VERB,3,B
comb,VERB,3,B
abandon,VERB,4,B
abolish,VERB,4,B
absorb,VERB,4,B
accept,VERB,4,B
accept,VERB,4,B
accuse,VERB,4,B
affect,VERB,4,B
amuse,VERB,4,B
approach,VERB,4,B
balance,VERB,4,B
block,VERB,4,B
boost,VERB,4,B
burn,VERB,4,B
catch,VERB,4,B
catch,VERB,4,B
cause,VERB,4,B
chop,VERB,4,B
abandon,VERB,5,C
absorb,VERB,5,C
accomplish,VERB,5,C
acknowledge,VERB,5,C
address,VERB,5,C
alarm,VERB,5,C
allocate,VERB,5,C
allow,VERB,5,C
anticipate,VERB,5,C
apply,VERB,5,C
assign,VERB,5,C
associate,VERB,5,C
assure,VERB,5,C
attain,VERB,5,C
beat,VERB,5,C
block,VERB,5,C
bully,VERB,5,C
cap,VERB,5,C
classify,VERB,5,C
address,VERB,6,C
advocate,VERB,6,C
alert,VERB,6,C
allow,VERB,6,C
amend,VERB,6,C
appreciate,VERB,6,C
arouse,VERB,6,C
assemble,VERB,6,C
attach,VERB,6,C
back,VERB,6,C
