Word,Synonyms
brave_aj,"['courageous', 'bold', 'valiant', 'fearless', 'valiente', 'gallant', 'bravery', 'daring', 'vaillant', 'courage', 'heroic', 'feisty', 'gutsy', 'audacious', 'good']"
brief_aj,"['short', 'briefly', 'concise', 'succinct', 'summary', 'writ', 'anyway', 'writs', 'memory', 'bref', 'inform', 'quick', 'factum', 'short-term', 'short-lived', 'mémoire', 'anyways', 'letter', 'short-', 'nutshell', 'memorandum', 'brefs']"
bright_aj,"['brilliant', 'guangming', 'brillantes', 'gloss', 'brightness', 'glossy', 'shiny', 'luminous', 'smart', 'promising', 'intelligent', 'radiant', 'auburn', 'clever', 'light', 'high-gloss', 'shining', 'rosy', 'glowing', 'vif', 'glittering', 'brite', 'sunny', 'brighter']"
brilliant_aj,"['bright', 'shiny', 'gloss', 'glossy', 'glorious', 'brillantes', 'splendid', 'awesome', 'excellent', 'glittering', 'briiliant', 'sparkly', 'resplendent', 'high-gloss', 'shining', 'great', 'guanghui', 'lustrous', 'brilliantly', 'fantastic', 'wonderful', 'smart', 'magnificent', 'glowing', 'outstanding', 'distinguished', 'amazing', 'clever', 'terrific', 'stellar', 'sparkling']"
broad_aj,"['wide', 'extensive', 'comprehensive', 'large', 'wide-ranging', 'vast', 'widespread', 'brett', 'general', 'broad-based', 'great', 'large-scale', 'major', 'big', 'far-reaching', 'extensively', 'overall', 'ample', 'extended', 'enlarged', 'wide-range', 'huge', 'broad-ranging', 'wide-scale', 'massive', 'expanded', 'broadly-based', 'widely']"
broken_aj,"['differenced', 'roto', 'debruised', 'shattered', 'broke', 'fractured', 'busted', 'breached', 'violated', 'rota', 'cracked', 'smashed', 'severed', 'damaged', 'interrupted', 'fracture', 'infringed', 'snapped', 'roasted', 'corrupted', 'break', 'breaking', 'quashed', 'raped']"
capable_aj,"['able', 'competent', 'ability', 'likely', 'capacity', 'incapable', 'unable']"
capitalist_aj,"['capitalistic', 'capitalism']"
careful_aj,"['cautious', 'prudent', 'attentive', 'thorough', 'attention', 'vigilant', 'meticulous', 'wary', 'conservative', 'carefully', 'conscientiously', 'circumspect', 'rigorous', 'detailed', 'caution', 'painstaking', 'precautionary', 'prudential', 'accurate', 'scrupulous', 'prudence', 'precise', 'observant', 'conscientious', 'watchful', 'earnestly']"
cast_aj,"['plaster', 'expressed', 'sunk', 'casting', 'die-cast', 'throw', 'moulded', 'threw', 'issued', 'thrown', 'shed', 'deposited', 'ctea', 'blown', 'alloying']"
casual_aj,"['occasional', 'non-daily', 'episodic', 'temporary', 'breezy', 'unforeseen', 'flippant', 'incidental', 'contingent', 'causal', 'unplanned', 'odd-job', 'nonchalant', 'infrequent', 'accidental', 'sporadic', 'adventitious', 'provisional']"
catholic_aj,"['catholique', 'católica', 'catholicism', 'katholieke', 'universiteit']"
celebrated_aj,"['famous', 'commemorated', 'solemnized', 'celebrates', 'held', 'marked', 'celebrate', 'observed', 'notorious', 'renowned']"
central_aj,"['amid', 'center', 'centre', 'centrale', 'core', 'pivotal', 'centralized', 'cbe', 'key', 'centralised', 'plant', 'main', 'essential', 'china-eu', 'middle', 'crucial', 'focal', 'sino-eu', 'centrally', 'fundamental', 'plants', 'downtown', 'heart', 'powerhouse', 'sino-european', 'powerplant', 'non-centralized', 'chung-ang', 'vital', 'rastra', 'amidst', 'station', 'china-europe', 'joongang', 'negara', 'střední', 'critical', 'zentrale', 'major']"
centralizing_aj,"['centralize', 'centralization', 'centralising', 'centralise', 'centralisation']"
centred_aj,"['focused', 'centered', 'focussed', 'concentrated']"
centromeric_aj,['centromere']
certain_aj,"['some', 'sure', 'specific', 'selected', 'particular', 'few', 'confident', 'convinced', 'determined', 'several', 'individual', 'safe', 'specified', 'number', 'secure', 'given']"
changing_aj,"['change', 'evolving', 'evolution', 'changes', 'ever-changing', 'modify', 'shifting', 'changed', 'amend', 'amending', 'modifying', 'changeable', 'altering', 'modification', 'shift', 'transforming', 'developments', 'transformation', 'alter', 'exchange']"
characteristic_aj,"['feature', 'characteristics', 'typical', 'features', 'trait', 'character-deﬁning', 'hallmark', 'distinctive', 'character-defining', 'character', 'attribute']"
chemical_aj,"['chemicals', 'chemistry', 'chimiques', 'chemische', 'químicas', 'chemically', 'química', 'chemist', 'chimie']"
chevy_aj,"['chevrolet', 'chev']"
chief_aj,"['head', 'leader', 'chef', 'director', 'boss', 'main', 'commander', 'principal', 'administrative', 'heads', 'jefe', 'minister', 'chairman', 'manager', 'sir', 'senior', 'steering', 'director-general', 'primary', 'jefa', 'chiefs', 'master', 'major', 'president', 'sarge', 'secretariat']"
choral_aj,['choir']
christian_aj,"['christians', 'chrétien', 'cristiana', 'christianity', 'kristen', 'cristiano', 'cristian', 'christiana', 'christin', 'christiano', 'protestantism', 'christiane']"
chronic_aj,"['chronicle', 'chronique', 'chronically', 'chronicles', 'chroniques', 'chronical', 'column', 'long-term', 'recurrent', 'persistent', 'perennial', 'long-standing', 'glimpse']"
circular_aj,"['circulars', 'bulletin', 'pie', 'circulaire', 'circulate', 'move', 'notice', 'bulletins', 'circumferential', 'flyers', 'handbills', 'flyer']"
civil_aj,"['civilian', 'civilians', 'calendar', 'civic', 'civile', 'public', 'marital', 'citizens', 'civili', 'folk', 'al-ahly', 'civiles', 'al-ahli', 'nongovernmental', 'civilised', 'citizen', 'madani', 'non-military', 'eligibility', 'civilized', 'people-to-people']"
classical_aj,"['classic', 'conventional', 'traditional', 'fever', 'plague', 'classics', 'typical']"
cleared_aj,"['cleaned', 'demined', 'acquitted', 'reconciled', 'erased', 'milled', 'removed', 'eliminated', 'acquittal', 'deleted', 'liquidated', 'authorized', 'offset']"
clinical_aj,"['clinic', 'clinics', 'clinique', 'cliniques', 'clinically', 'clinician', 'clinicians', 'medical']"
closed_aj,"['private', 'closed-door', 'closure', 'deprived', 'enclosed', 'locked', 'shut', 'close', 'concluded', 'sealed', 'clos', 'ended', 'closing', 'closed-type', 'suspended', 'fenced', 'p.mclosed', 'completed', 'closed-ended', 'closes', 'terminated', 'classified', 'a.mclosed', 'latched', 'closures', 'close-ended']"
coastal_aj,"['inshore', 'coast', 'littoral', 'onshore', 'riparian', 'nearshore', 'coastline', 'côte', 'coasts', 'shoreline', 'costal', 'port', 'seaside', 'offshore', 'near-shore', 'marine', 'in-shore', 'ribs']"
collective_aj,"['mass', 'collectif', 'collectively', 'colectivo', 'collectives', 'communal', 'common', 'multifamily', 'joint', 'group', 'multi-family', 'collaborative', 'collectively-owned', 'class-action', 'group-level', 'collegial', 'socially-owned', 'basket', 'gang']"
colonial_aj,"['colony', 'colonialist', 'colonialism', 'colonized', 'colonization', 'imperialist', 'colonies', 'semi-colonial', 'colonizing', 'decolonization']"
coloured_aj,"['colourful', 'stained', 'colour', 'colored', 'color', 'colorful', 'discolored', 'dyed', 'nonferrous', 'tinted']"
combined_aj,"['combination', 'combo', 'merged', 'coupled', 'combiné', 'conjugate', 'conjugated', 'joint', 'kombinované', 'locked', 'mixed', 'merger', 'blended', 'grouped', 'merge', 'consolidated', 'pooled', 'combines', 'handsets', 'lockup', 'lockups', 'total', 'periodic', 'cumulative', 'paired', 'together', 'cumulated', 'aggregated', 'common']"
comfortable_aj,"['comfy', 'cozy', 'convenient', 'cosy', 'uncomfortable', 'pleasant', 'uneasy', 'enjoyable', 'well-off']"
commercial_aj,"['trade', 'trading', 'business', 'commerce', 'comercial', 'commerciale', 'commerciales', 'pub', 'commercially', 'utilitarian', 'trade-related', 'shopping', 'commerical', 'business-related', 'mercantile', 'marketing']"
common_aj,"['joint', 'commons', 'shared', 'ordinary', 'mutual', 'frequent', 'single', 'commune', 'commun', 'jointly', 'communes', 'comune', 'collective', 'concerted', 'prevalent', 'commonplace', 'currents', 'current', 'unified', 'usual', 'widespread', 'uniform', 'común', 'general', 'κοινή', 'routine', 'gemeinsamen', 'municipalities', 'municipality', 'joined-up', 'communal', 'together', 'consolidated', 'commonly', 'co-', 'gemeinsame', 'share', 'combined', 'customary', 'commonality']"
communist_aj,"['communism', 'communists', 'kommounistiko', 'commie', 'cpc', 'komma']"
comparable_aj,"['similar', 'comparative', 'analogous', 'equivalent', 'compare']"
competitive_aj,"['competition', 'competitiveness', 'competing', 'concurrentiel', 'competitors', 'competitively', 'cost-competitive']"
complete_aj,"['full', 'comprehensive', 'completed', 'total', 'complement', 'completing', 'conclude', 'finalize', 'finish', 'complements', 'fill', 'entire', 'thorough', 'absolute', 'fulfill', 'fulfil', 'integrity', 'completes', 'supplement', 'exhaustive', 'finalise', 'completion', 'perform', 'whole', 'fully', 'populate', 'supplements', 'accomplish', 'perfect', 'end', 'finished', 'completely', 'kamel', 'meet', 'incomplete', 'fully-qualified']"
complex_aj,"['complicated', 'complexes', 'complexity', 'compound', 'sophisticated', 'intricate', 'difficult', 'complexe', 'plex', 'elaborate', 'challenging', 'cumbersome', 'convoluted', 'tricky', 'building', 'composite', 'sprawling', 'multifaceted']"
complicated_aj,"['complex', 'difficult', 'intricate', 'tricky', 'cumbersome', 'convoluted', 'compounded', 'sophisticated', 'challenging', 'messy', 'elaborate']"
comprehensive_aj,"['overall', 'complete', 'exhaustive', 'full', 'global', 'broad', 'detailed', 'extensive', 'thorough', 'all-round', 'general', 'holistic', 'wide', 'integral', 'comprehensively', 'integrated', 'in-depth', 'wide-ranging', 'all-out', 'mass', 'overarching', 'full-scale', 'aggregate', 'all-around', 'inclusive', 'consolidated', 'composite', 'end-to-end', 'far-reaching', 'total', 'all-encompassing', 'fully', 'vast', 'all-inclusive', 'all-embracing', 'complements', 'broad-based', 'entire', 'full-scope', 'sweeping', 'whole', 'widespread', 'large', 'globale', 'across-the-board', 'completes', 'omnibus', 'destruction', 'ample', 'enlarged']"
compulsory_aj,"['mandatory', 'obligatory', 'binding', 'non-compensatory', 'obligation', 'forced', 'required', 'coercive', 'obligations', 'peremptory', 'statutory', 'forcible', 'requirement', 'obliged']"
concerned_aj,"['interested', 'involved', 'worried', 'relevant', 'affected', 'preoccupied', 'stakeholders', 'disturbed', 'related', 'respective', 'competent', 'anxious', 'concern', 'on', 'question', 'issue', 'covered', 'relating', 'worrying', 'troubled', 'alarmed', 'implicated', 'referred', 'corresponding', 'concernés']"
concrete_aj,"['specific', 'tangible', 'practical', 'cement', 'particular', 'definite', 'real', 'actual', 'precise', 'action-oriented', 'substantive', 'factual', 'substantial']"
confident_aj,"['convinced', 'sure', 'confidence', 'self-confident', 'satisfied', 'certain', 'hopeful', 'safe', 'secure', 'trusting', 'trust', 'optimistic', 'certainty']"
confused_aj,"['confusing', 'muddled', 'disoriented', 'confounded', 'troubled', 'unclear', 'bewildered', 'perplexed', 'lost', 'confusion', 'disturbed', 'disorientated', 'puzzled', 'fuzzy', 'chaotic', 'mistaken', 'messy', 'boggled', 'woolly', 'disconcerted', 'baffled', 'garbled', 'stumped', 'restive']"
conscious_aj,"['aware', 'mindful', 'cognizant', 'recognizing', 'deliberate', 'consciously', 'realizing', 'conscience', 'conscientiously', 'conscientious', 'acknowledging']"
conservative_aj,"['curator', 'tory', 'prudent', 'curators', 'conservator', 'conservatism', 'cautious', 'governor', 'governorate', 'careful', 'preservative', 'governors', 'registrar']"
considerable_aj,"['significant', 'substantial', 'great', 'large', 'sizeable', 'huge', 'major', 'enormous', 'important', 'tremendous', 'big', 'remarkable', 'notable', 'much', 'extensive', 'massive', 'appreciable', 'serious', 'many', 'vast', 'sizable', 'immense', 'dramatic', 'considerably', 'strong', 'wide', 'high', 'noticeable', 'very']"
considered_aj,"['examined', 'reviewed', 'regarded', 'discussed', 'deemed', 'viewed', 'studied', 'seen', 'envisaged', 'felt', 'believed', 'consideration', 'judged', 'considers', 'contemplated', 'investigated', 'consider', 'explored', 'addressed', 'found', 'treated', 'estimated', 'looked', 'dealt', 'review', 'account', 'thought', 'perceived', 'tried', 'judicata', 'assessed']"
consistent_aj,"['coherent', 'compatible', 'uniform', 'cohesive', 'constant', 'uniforms', 'systematic', 'coherence', 'consistency', 'homogeneous', 'accordance', 'pursuant', 'congruent', 'supported', 'steady', 'concordant', 'consequent', 'homogenous', 'commensurate', 'uniformity', 'compliant', 'constants', 'logical', 'according', 'uniforme', 'concerted', 'unanimously', 'consonant', 'conformity', 'continuous', 'unanimous', 'inconsistent', 'continuing', 'coherently', 'consistently']"
constant_aj,"['steady', 'constants', 'continuous', 'continuing', 'ongoing', 'continued', 'permanent', 'consistent', 'continual', 'constantly', 'sustained', 'persistent', 'standing', 'stable', 'steadfast', 'on-going', 'continuously', 'incessant', 'perpetual', 'ever-present', 'unchanged', 'abiding', 'unwavering', 'fixed', 'relentless', 'regular', 'recurrent', 'lasting', 'enduring']"
constitutional_aj,"['constitution', 'constitutionnel', 'constitucional', 'constitutionality', 'constituent', 'constitutions', 'unconstitutional', 'institutional']"
contemporary_aj,"['contemporain', 'modern', 'contemporaneous', 'contemporaine', 'coeval', 'contemporaines', 'modern-day', 'hyundai', 'present-day', 'current']"
contemptuous_aj,"['derogatory', 'derisory']"
content_aj,"['contents', 'substance', 'contained', 'contenu', 'happy', 'contenido', 'tenor', 'elements', 'satisfied', 'connotation', 'material', 'concentration', 'glad', 'pleased']"
continental_aj,"['shelf', 'mainland', 'continent-wide', 'continentale', 'plateau', 'continent', 'platform', 'continental-scale', 'inland', 'tray', 'intercontinental', 'hemispheric']"
