Word,Synonyms
competitive,"['aggressive', 'ambitious', 'competing', 'cutthroat', 'vying']"
complete,"['entire', 'exhaustive', 'full', 'outright', 'thorough']"
complex,"['complicated', 'convoluted']"
complicated,"['arduous', 'convoluted', 'difficult', 'fancy', 'hard', 'intricate', 'knotty', 'perplexing', 'problematic', 'sophisticated', 'troublesome']"
comprehensive,"['all-inclusive', 'broad', 'complete', 'encyclopedic', 'exhaustive', 'extensive', 'far-reaching', 'full', 'global', 'overall', 'sweeping', 'thorough']"
compulsory,"['de rigueur', 'forced', 'imperative', 'mandatory', 'obligatory', 'required']"
concerned,"['anxious', 'distressed', 'disturbed', 'troubled', 'uneasy', 'uptight']"
concrete,"['detailed', 'material', 'objective', 'particular', 'real', 'solid', 'specific']"
confident,"['bold', 'convinced', 'courageous', 'fearless', 'hopeful', 'positive', 'sanguine', 'satisfied', 'self-assured', 'self-reliant', 'sure', 'upbeat']"
confused,"['baffled', 'befuddled', 'bewildered', 'dazed', 'disorganized', 'distracted', 'muddled', 'perplexed', 'perturbed', 'puzzled']"
congregational,[]
conscious,"['attentive', 'aware', 'certain', 'cognizant', 'informed', 'keen', 'mindful', 'responsive', 'sensible', 'sure', 'vigilant', 'watchful']"
conservative,"['middle-of-the-road', 'reactionary', 'timid', 'traditional']"
considerable,"['ample', 'appreciable', 'astronomical', 'big', 'extensive', 'great', 'hefty', 'huge', 'major', 'noticeable', 'reasonable', 'sizable', 'substantial']"
considered,"['studied', 'treated']"
consistent,"['dependable', 'logical', 'persistent', 'rational', 'steady', 'true']"
constant,"['consistent', 'continual', 'nonstop', 'perpetual', 'regular', 'stable', 'steady', 'unbroken', 'uninterrupted']"
constitutional,['essential']
contemporary,"['new', 'present-day']"
contemptuous,"['condescending', 'derisive', 'disdainful', 'disrespectful', 'haughty', 'insulting', 'scornful']"
content,"['comfortable', 'contented', 'fulfilled', 'satisfied', 'willing']"
continental,"['global', 'multicultural']"
continued,"['advance', 'endure', 'extend', 'go on', 'last', 'linger', 'maintain', 'progress', 'promote', 'pursue', 'reach', 'remain', 'stay', 'survive', 'sustain']"
continuing,"['chronic', 'enduring', 'lasting']"
continuous,"['continued', 'endless', 'extended', 'regular', 'repeated', 'stable', 'steady', 'unbroken', 'unceasing', 'uninterrupted']"
controversial,"['contentious', 'disputed', 'dubious', 'questionable']"
convenient,"['acceptable', 'advantageous', 'agreeable', 'available', 'beneficial', 'comfortable', 'conducive', 'favorable', 'good', 'handy', 'helpful', 'opportune', 'proper', 'suitable', 'timely', 'user-friendly']"
conventional,"['current', 'ordinary', 'regular', 'traditional', 'typical']"
conversational,"['casual', 'chatty', 'colloquial', 'informal', 'intimate']"
convinced,"['indoctrinated', 'persuaded']"
cool,"['chilly', 'frigid', 'frosty', 'refreshing']"
cooperative,"['collegial', 'concerted', 'coordinated', 'harmonious', 'interdependent', 'reciprocal', 'symbiotic', 'united']"
corporate,"['collective', 'joint']"
correct,"['appropriate', 'equitable', 'factual', 'legitimate', 'perfect', 'precise', 'proper', 'strict', 'true']"
crazy,"['insane', 'kooky', 'mad', 'nuts', 'nutty', 'silly', 'wacky']"
created,"['build', 'conceive', 'constitute', 'construct', 'design', 'devise', 'discover', 'establish', 'forge', 'form', 'found', 'generate', 'initiate', 'invent', 'make', 'organize', 'plan', 'produce', 'set up', 'shape', 'spawn', 'start']"
creative,"['gifted', 'ingenious', 'innovative', 'inventive', 'original', 'productive', 'prolific', 'visionary']"
criminal,"['corrupt', 'deplorable', 'illegal', 'illegitimate', 'illicit', 'immoral', 'scandalous', 'senseless', 'unlawful', 'vicious']"
critical,['demanding']
crucial,"['central', 'compelling', 'deciding', 'decisive', 'essential', 'imperative', 'momentous', 'necessary', 'pivotal', 'pressing', 'touchy', 'urgent', 'vital']"
cultural,"['artistic', 'developmental']"
curious,"['inquisitive', 'interested']"
current,"['modern', 'ongoing', 'present', 'prevailing']"
daily,"['constantly', 'day-to-day', 'everyday', 'often', 'periodic', 'regular', 'regularly', 'routine']"
damp,"['cloudy', 'dank', 'drizzly', 'misty', 'moist', 'muggy', 'saturated', 'soaked', 'sodden', 'soggy', 'steamy', 'sticky', 'waterlogged']"
darwinian,[]
dead,"['asleep', 'buried', 'deceased', 'late', 'lifeless']"
deadly,"['bloody', 'carcinogenic', 'cruel', 'dangerous', 'destructive', 'fatal', 'harmful', 'lethal', 'malignant', 'mortal', 'murderous', 'noxious', 'pernicious', 'poisonous', 'savage', 'suicidal', 'toxic', 'violent', 'virulent']"
deaf,"['earless', 'hard of hearing', 'stone deaf', 'unable to hear']"
dear,"['close', 'darling', 'familiar', 'intimate', 'pet']"
decent,"['correct', 'good', 'honest', 'honorable', 'modest', 'noble', 'polite', 'proper', 'prudent', 'trustworthy']"
decorative,"['fancy', 'ornamental']"
deep,"['broad', 'buried', 'deep-seated', 'far', 'profound', 'rooted', 'wide']"
deepening,['expand']
defined,"['characterize', 'construe', 'decide', 'delineate', 'describe', 'designate', 'detail', 'determine', 'exemplify', 'explain', 'illustrate', 'interpret', 'prescribe', 'represent', 'specify', 'spell out']"
definite,"['bold', 'categorical', 'clear-cut', 'definitive', 'distinct', 'explicit', 'obvious', 'palpable', 'positive', 'precise', 'pronounced', 'specific', 'straightforward', 'unambiguous', 'unequivocal', 'unmistakable', 'well-defined']"
degenerate,"['base', 'debased', 'debauched', 'decadent', 'decayed', 'degraded', 'demeaned', 'depraved', 'failing', 'fallen', 'low', 'mean', 'miscreant', 'perverted', 'retrograde', 'sinking', 'worsen']"
deictic,['professed']
delicate,"['delicious', 'delightful', 'elegant', 'exquisite', 'fragile', 'gentle', 'graceful', 'mild', 'rare', 'soft', 'subtle', 'tender']"
delighted,"['captivated', 'charmed', 'ecstatic', 'elated', 'enchanted', 'excited', 'jubilant', 'overjoyed', 'pleased', 'thrilled']"
democratic,"['Socialist', 'autonomous', 'constitutional', 'egalitarian', 'free', 'orderly', 'popular']"
dependent,"['defenseless', 'poor', 'reliant', 'vulnerable']"
depressed,"['despondent', 'morose', 'pessimistic', 'sad', 'unhappy']"
desirable,"['beautiful', 'enticing', 'fascinating']"
desperate,"['bold', 'dangerous', 'daring', 'determined', 'frantic', 'frenzied', 'furious', 'violent']"
destructive,"['calamitous', 'cataclysmic', 'catastrophic', 'damaging', 'deadly', 'detrimental', 'disastrous', 'fatal', 'harmful', 'hurtful', 'lethal', 'pernicious', 'ruinous', 'suicidal', 'toxic']"
detailed,"['accurate', 'complicated', 'comprehensive', 'definite', 'exact', 'exhaustive', 'intricate', 'meticulous', 'precise', 'specific', 'thorough']"
determined,"['decisive', 'dogged', 'purposeful', 'resolute', 'resolved', 'serious', 'single-minded', 'steadfast', 'strong-willed', 'stubborn', 'tenacious']"
developed,"['advanced', 'matured']"
developing,"['advance', 'establish', 'evolve', 'expand', 'flourish', 'grow', 'progress', 'promote']"
diabetic,[]
digestive,[]
digital,"['algebraic', 'algorithmic', 'arithmetic', 'arithmetical', 'binary', 'differential', 'exponent', 'exponential', 'fraction', 'fractional', 'integral', 'logarithm', 'logarithmic', 'mathematical', 'numeral', 'numerary', 'statistical']"
dim,"['blurred', 'cloudy', 'dark', 'dingy', 'dull', 'faint', 'fuzzy', 'gloomy', 'lackluster', 'murky', 'shadowy', 'vague']"
diplomatic,"['conciliatory', 'gracious', 'polite', 'strategic']"
direct,"['blunt', 'candid', 'explicit', 'forthright', 'sincere', 'straightforward', 'unambiguous', 'unequivocal']"
disabled,"['handicapped', 'infirm', 'paralyzed', 'weakened', 'wounded']"
disappointed,"['balked', 'beaten', 'complaining', 'defeated', 'depressed', 'disconcerted', 'discontented', 'discouraged', 'disenchanted', 'disgruntled', 'disillusioned', 'dissatisfied', 'distressed', 'down', 'foiled', 'frustrated', 'thwarted', 'upset', 'vanquished', 'worsted']"
disparate,"['contrasting', 'discordant', 'dissimilar', 'distinct', 'divergent', 'diverse', 'various']"
disposable,['cardboard']
disputed,"['challenge', 'contend', 'contest', 'contradict', 'deny', 'discuss', 'disprove', 'doubt', 'quarrel', 'rebut', 'refute', 'wrangle']"
dissident,"['discordant', 'dissenting']"
distant,"['far', 'far-flung', 'far-off', 'inaccessible', 'isolated', 'obscure', 'remote', 'removed', 'secluded']"
distasteful,"['abhorrent', 'hateful', 'objectionable', 'obnoxious', 'painful', 'repugnant', 'tasteless', 'unappetizing', 'unpalatable', 'unsavory']"
distinct,"['definite', 'noticeable', 'recognizable', 'specific', 'unmistakable']"
distinctive,"['cool', 'extraordinary', 'idiosyncratic', 'offbeat', 'original', 'peculiar', 'singular', 'special', 'weird']"
distressing,"['deplorable', 'dreadful', 'frightening', 'painful', 'poignant', 'regrettable', 'sad', 'troublesome']"
divisional,"['provincial', 'regional']"
domestic,['private']
domesticated,"['tamed', 'trained']"
dominant,"['assertive', 'commanding', 'effective', 'leading', 'main', 'powerful', 'predominant', 'preeminent', 'prevailing', 'prevalent', 'principal']"
double,['dual']
downright,"['damned', 'outright']"
dramatic,"['breathtaking', 'climactic', 'comic', 'emotional', 'impressive', 'melodramatic', 'powerful', 'sensational', 'startling', 'striking', 'sudden', 'tense', 'theatrical', 'thrilling', 'tragic', 'vivid']"
dreaded,"['apprehend', 'cringe', 'fear', 'quake', 'shudder', 'tremble']"
drunk,"['stoned', 'tipsy']"
due,"['expected', 'outstanding', 'overdue', 'owed', 'payable', 'scheduled']"
dull,"['boring', 'dim', 'dumb', 'simple', 'slow', 'sluggish', 'stupid', 'tedious']"
dynamic,"['aggressive', 'changing', 'charismatic', 'compelling', 'effective', 'energetic', 'forceful', 'influential', 'lively', 'potent', 'powerful', 'productive', 'progressive', 'vigorous']"
eager,"['ambitious', 'greedy', 'hungry', 'impatient', 'keen', 'restless', 'thirsty']"
economic,"['budgetary', 'commercial', 'fiscal', 'industrial', 'monetary']"
educational,"['academic', 'cultural', 'informational', 'scholarly']"
effective,"['active', 'adequate', 'compelling', 'competent', 'direct', 'efficient', 'forceful', 'impressive', 'potent', 'powerful', 'practical', 'sufficient', 'useful', 'valid']"
efficient,"['able', 'active', 'adequate', 'capable', 'competent', 'decisive', 'dynamic', 'economical', 'energetic', 'potent', 'powerful', 'productive', 'profitable', 'skilled', 'skillful', 'tough', 'useful', 'valuable']"
effortless,"['offhand', 'painless', 'uncomplicated']"
elderly,"['aged', 'aging', 'old', 'retired']"
electoral,['elective']
electric,"['electrical', 'magnetic']"
electrical,"['automatic', 'computerized', 'electronic', 'mechanical', 'mechanized', 'robotic']"
electronic,['computerized']
elegant,"['chic', 'classic', 'delicate', 'dignified', 'exquisite', 'fancy', 'fashionable', 'graceful', 'grand', 'handsome', 'luxurious', 'neat', 'opulent', 'ornate', 'polished', 'refined', 'simple', 'stately', 'stylish', 'stylized', 'sumptuous']"
emotional,"['affecting', 'exciting', 'heated', 'hysterical', 'impassioned', 'moving', 'nervous', 'passionate', 'poignant', 'sensitive', 'sentimental', 'spontaneous', 'touching']"
empirical,"['experimental', 'factual', 'observational']"
employed,"['engaged', 'hired', 'occupied']"
encouraging,"['hopeful', 'promising', 'reassuring', 'supportive']"
endless,"['boundless', 'ceaseless', 'constant', 'continual', 'continuous', 'countless', 'eternal', 'incessant', 'infinite', 'interminable', 'limitless', 'monotonous', 'never-ending', 'perpetual', 'unbroken', 'unending', 'unfathomable', 'uninterrupted', 'unlimited', 'untold']"
enjoyable,"['amusing', 'delicious', 'delightful', 'entertaining', 'fun', 'gratifying', 'likable', 'pleasant', 'pleasurable', 'satisfying']"
entire,"['full', 'integrated', 'unified']"
entitled,['designate']
entrenched,['rooted']
environmental,"['natural', 'real', 'substantial']"
equivalent,"['commensurate', 'comparable', 'corresponding', 'equal', 'identical', 'proportionate', 'tantamount']"
essential,"['crucial', 'fundamental', 'imperative', 'indispensable', 'main', 'necessary', 'needed']"
established,"['entrenched', 'settled', 'traditional', 'well-established']"
estimated,['predicted']
eternal,"['abiding', 'boundless', 'constant', 'continual', 'continued', 'enduring', 'everlasting', 'immortal', 'immutable', 'indestructible', 'infinite', 'interminable', 'lasting', 'never-ending', 'perennial', 'permanent', 'perpetual', 'relentless', 'timeless', 'unceasing', 'unending', 'unremitting']"
ethnic,"['indigenous', 'national', 'traditional', 'tribal']"
european,[]
evident,"['conspicuous', 'indisputable', 'noticeable', 'obvious', 'palpable', 'unmistakable', 'visible']"
evil,"['bad', 'corrupt', 'destructive', 'hateful', 'heinous', 'hideous', 'malevolent', 'malicious', 'nefarious', 'ugly', 'unpleasant', 'vicious', 'vile', 'villainous', 'wicked']"
exact,"['correct', 'definite', 'explicit', 'identical', 'literal', 'perfect', 'rigorous', 'specific', 'true']"
excellent,"['accomplished', 'admirable', 'attractive', 'distinguished', 'exceptional', 'exemplary', 'exquisite', 'fine', 'finest', 'first-rate', 'good', 'great', 'magnificent', 'outstanding', 'skillful', 'sterling', 'superb', 'superlative']"
exceptional,"['extraordinary', 'notable', 'noteworthy', 'odd', 'phenomenal', 'rare', 'remarkable', 'singular', 'special', 'strange', 'uncommon', 'unheard-of', 'unique', 'unprecedented', 'unusual']"
excessive,"['disproportionate', 'enormous', 'exaggerated', 'exorbitant', 'extra', 'extravagant', 'extreme', 'inordinate', 'needless', 'redundant', 'steep', 'superfluous', 'unconscionable', 'undue', 'unreasonable']"
excited,"['agitated', 'annoyed', 'delighted', 'disturbed', 'eager', 'enthusiastic', 'hysterical', 'nervous', 'passionate', 'thrilled']"
exclusive,"['absolute', 'chic', 'exclusionary', 'fashionable', 'licensed', 'limited', 'posh', 'private', 'privileged', 'restrictive', 'ritzy', 'segregated', 'sole', 'swank', 'unique']"
existing,"['actual', 'current', 'extant']"
expected,['normal']
expensive,"['costly', 'extravagant', 'fancy', 'high', 'lavish', 'overpriced', 'pricey', 'upscale', 'valuable']"
experienced,"['accomplished', 'capable', 'competent', 'mature', 'professional', 'qualified', 'seasoned', 'skillful', 'sophisticated', 'trained', 'veteran', 'wise']"
experimental,"['empirical', 'preliminary', 'unproved']"
explicit,"['accurate', 'categorical', 'certain', 'clear', 'clear-cut', 'correct', 'definite', 'definitive', 'exact', 'obvious', 'positive', 'precise', 'straightforward', 'unequivocal']"
exposed,"['bare', 'defined', 'disclosed', 'discovered', 'naked', 'resolved', 'solved', 'uncovered', 'unprotected']"
extensive,"['broad', 'comprehensive', 'considerable', 'expanded', 'huge', 'large', 'large-scale', 'lengthy', 'major', 'pervasive', 'protracted', 'sweeping', 'vast', 'voluminous', 'wide-ranging']"
external,"['extraneous', 'foreign']"
extraordinary,"['amazing', 'bizarre', 'curious', 'exceptional', 'fantastic', 'incredible', 'marvelous', 'odd', 'outstanding', 'particular', 'phenomenal', 'rare', 'remarkable', 'singular', 'special', 'strange', 'surprising', 'terrific', 'uncommon', 'unheard-of', 'unimaginable', 'unique', 'unprecedented', 'unusual', 'weird']"
extravagant,"['absurd', 'bizarre', 'costly', 'exaggerated', 'excessive', 'exorbitant', 'expensive', 'fanciful', 'fancy', 'fantastic', 'flamboyant', 'flashy', 'garish', 'gaudy', 'grandiose', 'implausible', 'lavish', 'ludicrous', 'ornate', 'ostentatious', 'outrageous', 'overpriced', 'profligate', 'reckless', 'ridiculous', 'showy', 'silly']"
extreme,"['acute', 'intense', 'severe', 'utmost']"
faint,"['delicate', 'dim', 'distant', 'dull', 'far-off', 'gentle', 'hazy', 'inaudible', 'mild', 'muffled', 'muted', 'remote', 'slight', 'soft', 'soothing', 'stifled', 'vague', 'weak']"
fair,"['candid', 'civil', 'clean', 'courteous', 'decent', 'equal', 'equitable', 'generous', 'good', 'honest', 'honorable', 'impartial', 'lawful', 'legitimate', 'objective', 'principled', 'proper', 'reasonable', 'sincere', 'straightforward', 'trustworthy', 'unbiased']"
